2025-28-3--00-22-53, 1150.09, 1007.80, 1047.53, 1090.50, 1128.78, 1150.09, 
2025-28-3--00-22-53, 1023.86, 1011.01, 1038.06, 1050.51, 1044.84, 1023.86, 
2025-28-3--00-22-53, 817.13, 972.23, 949.69, 910.48, 862.67, 817.13, 
2025-28-3--00-22-53, 1139.86, 1005.76, 1025.76, 1048.11, 1084.42, 1139.86, 
2025-28-3--00-22-53, 1100.35, 1024.68, 1055.59, 1079.45, 1097.17, 1100.35, 
2025-28-3--00-22-54, 811.23, 981.99, 957.85, 918.52, 868.42, 811.23, 
2025-28-3--00-22-54, 646.96, 914.98, 833.49, 755.58, 691.25, 646.96, 
2025-28-3--00-22-54, 1124.62, 956.91, 949.94, 977.00, 1037.94, 1124.62, 
2025-28-3--00-22-54, 1031.14, 971.75, 982.42, 1009.49, 1032.50, 1031.14, 
2025-28-3--00-22-54, 1068.27, 991.06, 1016.76, 1044.75, 1061.11, 1068.27, 
2025-28-3--00-22-54, 1113.21, 1015.49, 1055.34, 1085.83, 1102.79, 1113.21, 
2025-28-3--00-22-54, 1099.50, 1032.29, 1073.00, 1094.03, 1100.16, 1099.50, 
2025-28-3--00-22-54, 395.73, 904.98, 802.09, 675.05, 536.61, 395.73, 
2025-28-3--00-22-54, 1137.65, 951.51, 936.32, 952.61, 1017.44, 1137.65, 
2025-28-3--00-22-54, 757.40, 912.69, 864.75, 835.49, 809.41, 757.40, 
2025-28-3--00-22-55, 785.17, 887.19, 832.92, 805.30, 790.02, 785.17, 
2025-28-3--00-22-55, 685.30, 846.81, 773.87, 733.30, 706.25, 685.30, 
2025-28-3--00-22-55, 805.99, 838.65, 786.72, 776.92, 786.05, 805.99, 
2025-28-3--00-22-55, 1071.36, 885.19, 900.58, 953.58, 1014.29, 1071.36, 
2025-28-3--00-22-55, 1085.90, 925.33, 974.70, 1032.97, 1071.58, 1085.90, 
2025-28-3--00-22-55, 1086.72, 957.61, 1019.51, 1065.22, 1083.69, 1086.72, 
